,text,target
0,"['लोकसभा', 'चुनाव', 'जिला', 'निर्वाचन', 'अधिकारी', 'अधिग्रहीत', 'वाहनों', 'नियत', 'समय', 'तय', 'स्थान', 'अनिवार्य', 'रूप', 'उपलब्ध', 'करा']",0
1,"['पथिक', 'नदी', 'ठंडा', 'जल', 'पी']",1
2,"['गेहूं', 'कटाई', 'बढ़ते', 'तापमान', 'बाजार', 'रौनक', 'फीका', 'है।']",0
3,"['पिछले', 'वर्ष', 'अपेक्षा', 'वर्ष', 'चुनाव', 'बाजार', 'हल्का', 'दिया।']",0
4,"['सलामी', 'बल्लेबाज', 'मुरलीधरन', 'गौतम', '30', 'रन', 'उपयोगी', 'पारी', 'खेली.']",1
5,"['सोनाक्षी', 'सिन्हा', 'जिनका', 'बढ़ा', 'वजन', 'अक्सर', 'मजाक', 'उड़वा', 'देता', 'आजकल', 'डायट', 'काफी', 'ध्यान', 'दे', 'रही', 'हैं।']",0
6,"['झगड़े', 'उतारु', 'गए,', 'अमले', 'सुनी।']",0
7,"['घरेलू', 'स्टील', 'उपभोग', 'कम', 'वृद्धि', 'संकेत', 'मिलता', 'पूरे', 'साल', 'दौरान', 'बेस', 'लेवल', 'मांग', 'दशा', 'कमजोर', 'रही।']",0
8,"['बिना', 'कठिनाई', 'म्यूजिक', 'सुनते', 'स्मार्टफोन', 'ऑडियो', 'वीडियो', 'शेयरिंग', 'हैं।']",1
9,"['शिनाख्स', 'संतुष्ट', 'पर्स', 'लौटा', 'दिया।']",1
10,"['क्या', 'कभी', 'सीधी', 'बात']",0
11,"['कबरई', 'आसपास', 'दिनरात', 'चलने', 'क्रेशर्स', 'निकलने', 'वाली', 'जानलेवा', 'धूल', 'खेती', 'प्रभावित', 'है.']",0
12,"['नीम', 'कड़ुआ']",0
13,"['अब', 'बेफिक्र', 'होकर', 'रक्तदान', 'सकती', 'हैं।']",1
14,"['राजस्व', 'अधिकारी', 'गंभीरतापूर्वक', 'दायित्व', 'निभाएं']",1
15,"['बीसीसीआई', 'जांच', 'बनाए', 'गए', 'पैनल', 'तटस्थ,', 'सर्व', 'स्वीकार्य', 'विश्वसनीय', 'चेहरे', 'दे', 'पाने', 'नाकाम', 'रही।']",0
