,text,target
1982,"लोकसभा चुनाव के लिए जिला निर्वाचन अधिकारी द्वारा अधिग्रहीत वाहनों को नियत समय से तय स्थान पर अनिवार्य रूप से उपलब्ध करा दें।
",0
937,"पथिक नदी का ठंडा जल पी रहा है
",1
2128,"गेहूं की कटाई और बढ़ते तापमान ने भी बाजार की रौनक को फीका कर दिया है।
",0
2137,"पिछले वर्ष की अपेक्षा इस वर्ष चुनाव ने बाजार को हल्का कर दिया।
",0
521,"सलामी बल्लेबाज मुरलीधरन गौतम ने भी 30 रन की उपयोगी पारी खेली.
",1
1518,"सोनाक्षी सिन्हा जिनका बढ़ा हुआ वजन अक्सर उनका मजाक उड़वा देता है आजकल अपनी डायट पर काफी ध्यान दे रही हैं।
",0
2237,"झगड़े पर उतारु हो गए, लेकिन अमले ने उनकी एक नहीं सुनी।
",0
1247,"घरेलू स्टील उपभोग में कम वृद्धि से यह संकेत मिलता है कि पूरे साल के दौरान बेस लेवल मांग की दशा कमजोर बनी रही।
",0
61,"इसके साथ ही आप बिना किसी कठिनाई के म्यूजिक सुनते हुए अपने स्मार्टफोन पर ऑडियो व वीडियो शेयरिंग कर सकते हैं।
",1
803,"शिनाख्स से संतुष्ट होने के बाद पर्स उसे लौटा दिया।
",1
2291,"क्या आप कभी सीधी बात नहीं कर सकते
",0
2261,"कबरई के आसपास दिनरात चलने वाले क्रेशर्स से निकलने वाली जानलेवा धूल से खेती भी प्रभावित है.
",0
2306,"नीम कड़ुआ होता है
",0
335,"अब आप बेफिक्र होकर रक्तदान कर सकती हैं।
",1
828,"राजस्व अधिकारी गंभीरतापूर्वक दायित्व निभाएं 
",1
1577,"बीसीसीआई जांच के लिए बनाए गए अपने पैनल में तटस्थ, सर्व स्वीकार्य और विश्वसनीय चेहरे दे पाने में नाकाम रही।
",0
16,"ईश्वर रोगी को आरोग्यता देता है।
",1
2232,"इसके लिए नगर निगम को तीन माह का समय दिया गया है यदि ऐसा नहीं किया गया तो निराकृत हो चुकी जनहित याचिका पर फिर से सुनवाई की जाएगी।
",0
102,"एशियाई बाजारों में बढ़त के साथ कारोबार हो रहा है।
",1
877,"बाजार ने और रफ्तार तब पकड़ी जब आठवें चरण तक के एक्जिट पोल के आंकड़े बाजार में आने की अफवाह फैली।
",1
1242,"घायलों में एक की हालत चिंताजनक बनी हुई है।
",0
1076,"प्रवाहित जल में रोगों के कीटाणु नहीं पनप पाते
",1
1546,"घर की माली हालत खराब थी।
",0
1143,"मेरा व्यवसाय ठीक-ठाक चल रहा है
",1
751,"ससे कुशल और गैरकुशल श्रमिकों के लिए बड़ी संख्या में रोजगार के अवसर बन सकते हैं।
",1
439,"देवी मां की आराधना की पूर्णता कन्याओं को भोज देने के साथ पूरी हुई।
",1
19,"गोविंदा जैसे बेहतरीन कलाकार की बराबरी भला कौन कर सकता है|
",1
2083,"अब मुझे इस बात का अफसोस होता है कि मैं उनके साथ काम नहीं कर पाया।
",0
1721,"  भाजपा  जानबूझकर साम्प्रदायिक रास्ता अपना रही है |
",0
2208,"यह पहला मौका नहीं है जब इस तरह पेपर लीक होने की घटना सामने आई है।
",0
2212,"18 करोड़ खर्च कर लगभग 356 तालाब खुदवाने के बावजूद ज्यादातर तालाब सूख गए है।
",0
2046,"घटना से आस पास के किसान इस भय से अपने खेतों में घूमते रहे कि कहीं किसी चिंगारी के भड़के ने पुन: उनके खेतों में आग न लग जाए।
",0
2346,"नौकरी पाने के असफल प्रयासों के कारण वह निराश हो गया
",0
1389,"तीनों पालियों में कुल 82 में से दो परीक्षार्थी अनुपस्थित रहे।
",0
1690,"उन्हें भारतीय क्रिकेट के अहित की तनिक भी चिंता नहीं है।
",0
728,"जहां भगवान महादेव और माता गौरी ने उन्हें अपने पुत्र की तरह रखा और शस्त्र और शास्त्र में पारंगत बनाया।
",1
1606,"वे इसलिए भी बेफिक्र रहते हैं कि फेसबुक पर तो सभी 'फ्रेंड' हैं, फिर डर कैसा!
",0
1674,"सोनम ने बात करना तो दूर बल्कि उन्हें अनदेखा सा कर दिया।
",0
1374,"इसी कारण समस्त बैंकों के कर्मचारियों को हड़ताल करने पर मजबूर होना पड़ा।
",0
5,"नई भूमि को खरीदना इस तिथि को शुभ फलदायी माना जाता है।
",1
1348,"किसी अनहोनी की आशंका से करीब आधे घंटे तक क्षेत्र के लोग भयभीत होते रहे।
",0
1724," जिले में बिजली की बेहिसाब कटौती से जनजीवन बेहाल हो गया है।
",0
321,"मूवी एक ईमानदार आदमी के बारे में है जो पापी लोगों से लड़ता है और आम आदमी का लीडर बनता है।
",1
1535,"साथ ही अपनी भूल सुधार न करने पर कठोर कार्रवाई की चेतावनी भी दी है।
",0
1211,"यहां भाषण के दौरान लालू ने जब लोगों को डी एरिया में बुलाया तो पुलिस परेशान हो गई।.
",0
1958,"पुलिस के पहुंचते ही वहां भगदड़ मची।
",0
289,"उनका मानना है कि पिछले मुकाबले में दिल्ली डेयरडेविल्स को और कम स्कोर पर रोका जा सकता था.
",1
1412,"सरकार ने निर्णय लिया है कि वह लोकायुक्त कार्यालय के लिए अलग से पुलिस अफसर और अभियंता का पद स्वीकृत नहीं करेगी।
",0
652,"आईफोन का रंग काफी अच्छा है।
",1
1225,"बिस्तर से उठना मानो उनके लिए बड़ी सजा के समान होता है।
",0
2051,"इस कार्रवाई के बाद सुरक्षा गार्डों को भी कार्रवाई का डर सताने लगा है।
",0
1156,"उसने अपने घर की दीवारों पर बहुत सुंदर चित्रांकन किया है
",1
729,"इन शिविरों में बच्चों को खेल की विभिन्न विधाओं में पारंगत करने के लिए उन्हें उसकी बारीकियों से अवगत कराया जाएगा।
",1
1343,"इसके बिना जीडीपी को दोबारा ग्रोथ के रास्ते पर लाना मुमकिन नहीं है
",0
740,"मोदी भी रूप बदलने में माहिर हैं।
",1
2329,"उसकी कड़वी बोली किसी को अच्छी नहीं लगती
",0
